É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/01/27 14:58:43

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
2010/12/8,1.1,8,1,-1.3,8,1,0,0,8,1,0,1,8,1,1004.6,8,1,65,8,1,3.7,8,1,10.0,8,ñkñkêº,8,1
2010/12/9,2.0,8,1,-0.7,8,1,0,0,8,1,0,1,8,1,1002.3,8,1,60,8,1,5.8,8,1,10.3,8,ñkñkêº,8,1
2010/12/10,1.0,8,1,-1.5,8,1,0,0,8,1,0,1,8,1,1009.7,8,1,66,8,1,2.6,8,1,6.5,8,êºñkêº,8,1
2010/12/11,8.8,8,1,-1.0,8,1,0,0,8,1,0,1,8,1,1001.8,8,1,63,8,1,6.8,8,1,13.6,8,ìÏêº,8,1
2010/12/12,1.3,8,1,-4.9,8,1,4,0,8,1,8,0,8,1,1013.3,8,1,68,8,1,3.7,8,1,14.5,8,êºìÏêº,8,1
2010/12/13,5.3,8,1,-3.0,8,1,3,0,8,1,1,0,8,1,1018.4,8,1,65,8,1,4.7,8,1,9.4,8,ìÏ,8,1
2010/12/14,3.4,8,1,-1.5,8,1,4,0,8,1,4,0,8,1,1002.5,8,1,81,8,1,4.4,8,1,9.4,8,ñkêº,8,1
2010/12/15,-1.5,8,1,-8.2,8,1,4,0,8,1,2,0,8,1,1000.0,8,1,69,8,1,3.2,8,1,8.0,8,ñkêº,8,1
2010/12/16,-0.9,8,1,-8.0,8,1,3,0,8,1,0,1,8,1,1004.6,8,1,61,8,1,3.0,8,1,5.6,8,ìÏêº,8,1
2010/12/17,-0.7,8,1,-6.5,8,1,2,0,8,1,0,1,8,1,1007.4,8,1,60,8,1,1.6,8,1,4.1,8,êºìÏêº,8,1
2010/12/18,0.0,8,1,-5.7,8,1,14,0,8,1,14,0,8,1,1009.3,8,1,75,8,1,3.6,8,1,9.2,8,ñkêº,8,1
2010/12/19,5.2,8,1,-3.2,8,1,13,0,8,1,0,1,8,1,1018.1,8,1,68,8,1,3.4,8,1,8.7,8,ìÏ,8,1
2010/12/20,5.9,8,1,0.9,8,1,10,0,8,1,0,1,8,1,1005.4,8,1,81,8,1,3.8,8,1,10.8,8,ìÏ,8,1
2010/12/21,3.9,8,1,-0.9,8,1,3,0,8,1,0,1,8,1,1014.9,8,1,55,8,1,3.1,8,1,6.6,8,êºñkêº,8,1
2010/12/22,1.0,8,1,-2.4,8,1,8,0,8,1,7,0,8,1,1014.6,8,1,75,8,1,1.6,8,1,3.7,8,ìÏìå,8,1
2010/12/23,3.2,8,1,0.5,8,1,11,0,8,1,5,0,8,1,1000.4,8,1,90,8,1,4.0,8,1,7.5,8,ñkêº,8,1
2010/12/24,3.7,8,1,-6.6,8,1,10,0,8,1,4,0,8,1,991.7,8,1,66,8,1,3.7,8,1,8.5,8,ìÏêº,8,1
2010/12/25,-3.0,8,1,-7.2,8,1,10,0,8,1,1,0,8,1,984.9,8,1,55,8,1,3.1,8,1,5.6,8,ìÏìÏêº,8,1
2010/12/26,-0.1,8,1,-7.3,8,1,10,0,8,1,2,0,8,1,988.9,8,1,61,8,1,3.1,8,1,7.7,8,ìÏêº,8,1
2010/12/27,2.5,8,1,-3.5,8,1,10,0,8,1,0,1,8,1,998.1,8,1,54,8,1,3.0,8,1,6.4,8,êºìÏêº,8,1
2010/12/28,2.7,8,1,-2.2,8,1,10,0,8,1,0,1,8,1,1002.8,8,1,55,8,1,2.1,8,1,7.1,8,ìÏìÏêº,8,1
2010/12/29,0.7,8,1,-1.7,8,1,20,0,8,1,10,0,8,1,999.9,8,1,86,8,1,1.8,8,1,6.0,8,ñkêº,8,1
2010/12/30,1.1,8,1,-0.9,8,1,20,0,8,1,0,1,8,1,1003.9,8,1,85,8,1,1.6,8,1,4.7,8,ñkñkêº,8,1
2010/12/31,1.8,8,1,-4.9,8,1,17,0,8,1,0,1,8,1,998.1,8,1,63,8,1,2.1,8,1,4.2,8,êºñkêº,8,1
2011/1/1,1.4,8,1,-2.2,8,1,17,0,8,1,0,1,8,1,1003.4,8,1,58,8,1,4.8,8,1,8.9,8,ñk,8,1
2011/1/2,0.8,8,1,-3.8,8,1,20,0,8,1,3,0,8,1,1013.7,8,1,61,8,1,3.7,8,1,7.2,8,ñkêº,8,1
2011/1/3,2.3,8,1,-4.3,8,1,20,0,8,1,3,0,8,1,1009.8,8,1,74,8,1,1.8,8,1,5.2,8,êºñkêº,8,1
2011/1/4,1.7,8,1,-3.5,8,1,21,0,8,1,3,0,8,1,1006.1,8,1,67,8,1,2.3,8,1,5.4,8,ñkêº,8,1
2011/1/5,-0.1,8,1,-4.3,8,1,21,0,8,1,2,0,8,1,1002.5,8,1,66,8,1,1.8,8,1,5.3,8,ñkêº,8,1
2011/1/6,-2.2,8,1,-9.2,8,1,37,0,8,1,20,0,8,1,998.3,8,1,75,8,1,5.3,8,1,9.9,8,ñkêº,8,1
2011/1/7,-6.5,8,1,-10.1,8,1,53,0,8,1,18,0,8,1,1005.4,8,1,77,8,1,6.3,8,1,10.3,8,ñkêº,8,1
2011/1/8,-3.0,8,1,-7.7,8,1,58,0,8,1,10,0,8,1,1008.6,8,1,71,8,1,3.8,8,1,10.6,8,ñkêº,8,1
2011/1/9,-4.0,8,1,-8.0,8,1,61,0,8,1,14,0,8,1,1002.9,8,1,68,8,1,3.3,8,1,7.7,8,ñkêº,8,1
2011/1/10,-3.8,8,1,-8.6,8,1,60,0,8,1,6,0,8,1,1003.6,8,1,59,8,1,4.4,8,1,7.7,8,êºñkêº,8,1
2011/1/11,-3.4,8,1,-8.9,8,1,57,0,8,1,4,0,8,1,1006.3,8,1,58,8,1,3.3,8,1,7.4,8,ñkêº,8,1
2011/1/12,-5.1,8,1,-9.6,8,1,59,0,8,1,11,0,8,1,1001.8,8,1,77,8,1,1.8,8,1,5.2,8,ñkñkêº,8,1
2011/1/13,-4.6,8,1,-9.4,8,1,65,0,8,1,7,0,8,1,1009.9,8,1,67,8,1,3.6,8,1,8.0,8,ñkêº,8,1
2011/1/14,-5.2,8,1,-8.8,8,1,60,0,8,1,3,0,8,1,1011.8,8,1,57,8,1,4.0,8,1,7.5,8,ñkêº,8,1
2011/1/15,-0.1,8,1,-9.5,8,1,59,0,8,1,7,0,8,1,1000.3,8,1,60,8,1,2.7,8,1,5.2,8,ìÏìÏìå,8,1
2011/1/16,1.5,8,1,-3.8,8,1,61,0,8,1,8,0,8,1,990.2,8,1,74,8,1,4.9,8,1,9.7,8,ñkêº,8,1
2011/1/17,1.5,8,1,-3.7,8,1,76,0,8,1,20,0,8,1,997.5,8,1,78,8,1,5.9,8,1,12.9,8,ñkêº,8,1
2011/1/18,3.0,8,1,-3.5,8,1,75,0,8,1,3,0,8,1,1006.4,8,1,65,8,1,3.0,8,1,7.5,8,êºñkêº,8,1
2011/1/19,1.3,8,1,-4.3,8,1,70,0,8,1,0,1,8,1,1005.2,8,1,64,8,1,1.9,8,1,5.6,8,êº,8,1
2011/1/20,-1.0,8,1,-4.6,8,1,66,0,8,1,3,0,8,1,1001.9,8,1,63,8,1,2.8,8,1,9.2,8,ñkêº,8,1
2011/1/21,-0.8,8,1,-4.6,8,1,72,0,8,1,7,0,8,1,1006.1,8,1,67,8,1,3.6,8,1,9.3,8,ñkêº,8,1
2011/1/22,0.3,8,1,-6.5,8,1,68,0,8,1,0,1,8,1,1007.6,8,1,57,8,1,2.5,8,1,6.6,8,êºñkêº,8,1
2011/1/23,1.2,8,1,-4.9,8,1,65,0,8,1,3,0,8,1,1011.5,8,1,71,8,1,1.8,8,1,4.9,8,êºìÏêº,8,1
2011/1/24,-0.1,8,1,-6.5,8,1,65,0,8,1,0,1,8,1,1010.9,8,1,61,8,1,1.8,8,1,3.9,8,ìå,8,1
2011/1/25,1.3,8,1,-7.5,8,1,62,0,8,1,1,0,8,1,1013.7,8,1,71,8,1,2.3,8,1,5.5,8,êºñkêº,8,1
2011/1/26,-1.4,8,1,-6.7,8,1,61,0,8,1,1,0,8,1,1017.6,8,1,60,8,1,1.3,8,1,2.6,8,ñkìå,8,1
2011/1/27,-1.9,8,1,-8.5,8,1,61,0,8,1,1,0,8,1,1018.5,8,1,59,8,1,1.6,8,1,3.6,8,ìå,8,1
2011/1/28,-2.7,8,1,-9.8,8,1,60,0,8,1,1,0,8,1,1012.6,8,1,66,8,1,2.0,8,1,5.1,8,ìåìÏìå,8,1
2011/1/29,-1.1,8,1,-6.9,8,1,59,0,8,1,1,0,8,1,1007.0,8,1,55,8,1,2.6,8,1,6.6,8,ìÏêº,8,1
2011/1/30,-1.7,8,1,-7.7,8,1,65,0,8,1,10,0,8,1,1002.8,8,1,67,8,1,3.0,8,1,6.9,8,ñkêº,8,1
2011/1/31,-3.8,8,1,-9.4,8,1,65,0,8,1,2,0,8,1,1003.0,8,1,75,8,1,1.6,8,1,4.4,8,ìÏìÏêº,8,1
2011/2/1,-3.2,8,1,-5.8,8,1,85,0,8,1,23,0,8,1,1007.8,8,1,77,8,1,5.0,8,1,9.6,8,ñkêº,8,1
2011/2/2,1.5,8,1,-8.1,8,1,82,0,8,1,0,1,8,1,1015.1,8,1,66,8,1,2.2,8,1,4.5,8,ìÏìÏìå,8,1
2011/2/3,5.9,8,1,-2.1,8,1,76,0,8,1,0,1,8,1,1012.8,8,1,64,8,1,2.0,8,1,5.0,8,ìÏìÏêº,8,1
2011/2/4,7.4,8,1,-2.2,8,1,72,0,8,1,0,1,8,1,1009.9,8,1,62,8,1,2.7,8,1,5.7,8,ìÏìÏêº,8,1
2011/2/5,2.8,8,1,-4.4,8,1,69,0,8,1,2,0,8,1,1012.3,8,1,54,8,1,4.4,8,1,9.2,8,ñkêº,8,1
2011/2/6,1.8,8,1,-8.2,8,1,66,0,8,1,1,0,8,1,1009.8,8,1,68,8,1,5.4,8,1,12.6,8,ìÏìÏìå,8,1
2011/2/7,2.9,8,1,-6.6,8,1,71,0,8,1,7,0,8,1,1000.6,8,1,67,8,1,5.3,8,1,10.6,8,ñkêº,8,1
2011/2/8,-2.2,8,1,-7.0,8,1,69,0,8,1,0,1,8,1,1004.8,8,1,57,8,1,3.5,8,1,7.8,8,êºñkêº,8,1
2011/2/9,0.5,8,1,-5.9,8,1,68,0,8,1,2,0,8,1,1004.3,8,1,66,8,1,1.8,8,1,3.8,8,ñk,8,1
2011/2/10,1.8,8,1,-4.1,8,1,82,0,8,1,21,0,8,1,1005.3,8,1,79,8,1,2.3,8,1,6.7,8,ñkêº,8,1
2011/2/11,1.7,8,1,-4.3,8,1,81,0,8,1,0,1,8,1,1011.3,8,1,71,8,1,2.3,8,1,4.9,8,ìÏìÏìå,8,1
2011/2/12,0.5,8,1,-6.7,8,1,73,0,8,1,0,1,8,1,1009.4,8,1,63,8,1,3.0,8,1,6.6,8,ñk,8,1
2011/2/13,-1.5,8,1,-4.2,8,1,85,0,8,1,16,0,8,1,1009.7,8,1,72,8,1,5.3,8,1,8.9,8,ñkêº,8,1
2011/2/14,-0.1,8,1,-5.9,8,1,87,0,8,1,3,0,8,1,1016.8,8,1,70,8,1,2.0,8,1,6.1,8,ñkêº,8,1
2011/2/15,1.8,8,1,-8.8,8,1,82,0,8,1,0,1,8,1,1015.7,8,1,59,8,1,2.2,8,1,5.5,8,ìÏ,8,1
2011/2/16,5.5,8,1,-1.0,8,1,80,0,8,1,2,0,8,1,1017.0,8,1,68,8,1,2.4,8,1,5.6,8,ìÏ,8,1
2011/2/17,4.2,8,1,-2.7,8,1,76,0,8,1,0,1,8,1,1013.8,8,1,75,8,1,2.0,8,1,5.0,8,ìÏìÏìå,8,1
2011/2/18,2.9,8,1,-1.8,8,1,74,0,8,1,3,0,8,1,1003.7,8,1,79,8,1,4.7,8,1,9.3,8,ñkñkêº,8,1
2011/2/19,0.7,8,1,-4.9,8,1,82,0,8,1,15,0,8,1,1013.8,8,1,76,8,1,1.9,8,1,5.2,8,ìÏ,8,1
2011/2/20,2.4,8,1,-1.7,8,1,82,0,8,1,5,0,8,1,1018.5,8,1,61,8,1,4.2,8,1,10.9,8,ñkêº,8,1
2011/2/21,4.1,8,1,-6.1,8,1,76,0,8,1,0,1,8,1,1022.6,8,1,60,8,1,1.7,8,1,4.2,8,êºìÏêº,8,1
2011/2/22,6.1,8,1,-3.0,8,1,73,0,8,1,0,1,8,1,1024.3,8,1,66,8,1,2.4,8,1,5.6,8,ìÏìå,8,1
2011/2/23,3.7,8,1,0.3,8,1,70,0,8,1,0,1,8,1,1021.4,8,1,69,8,1,6.0,8,1,11.0,8,ìÏìÏìå,8,1
2011/2/24,9.3,8,1,2.2,8,1,67,0,8,1,0,1,8,1,1010.4,8,1,77,8,1,4.7,8,1,9.2,8,ìÏìÏìå,8,1
2011/2/25,7.0,8,1,-5.0,8,1,63,0,8,1,3,0,8,1,1009.1,8,1,70,8,1,4.6,8,1,8.8,8,ñkñkêº,8,1
2011/2/26,-2.2,8,1,-6.4,8,1,64,0,8,1,4,0,8,1,1024.3,8,1,65,8,1,4.7,8,1,8.8,8,ñkêº,8,1
2011/2/27,1.7,8,1,-4.8,8,1,64,0,8,1,4,0,8,1,1020.3,8,1,69,8,1,4.0,8,1,8.3,8,ñkêº,8,1
2011/2/28,-0.7,8,1,-6.7,8,1,64,0,8,1,0,1,8,1,1019.3,8,1,51,8,1,1.9,8,1,4.8,8,ìÏìå,8,1
2011/3/1,1.4,8,1,-5.2,8,1,63,0,8,1,1,0,8,1,1005.6,8,1,71,8,1,4.0,8,1,7.1,8,ìÏìÏìå,8,1
2011/3/2,1.9,8,1,-3.4,8,1,69,0,8,1,9,0,8,1,999.5,8,1,66,8,1,5.0,8,1,8.4,8,ñkêº,8,1
2011/3/3,-2.2,8,1,-5.4,8,1,90,0,8,1,31,0,8,1,1000.7,8,1,74,8,1,3.8,8,1,9.1,8,ñkêº,8,1
2011/3/4,-0.3,8,1,-6.6,8,1,92,0,8,1,7,0,8,1,1005.4,8,1,70,8,1,4.5,8,1,9.7,8,ñkêº,8,1
2011/3/5,3.0,8,1,-7.7,8,1,87,0,8,1,0,1,8,1,1009.9,8,1,61,8,1,2.4,8,1,6.9,8,ñkêº,8,1
2011/3/6,4.9,8,1,-1.4,8,1,80,0,8,1,0,1,8,1,1003.5,8,1,62,8,1,2.3,8,1,7.3,8,ñkñkêº,8,1
2011/3/7,3.2,8,1,-3.8,8,1,74,0,8,1,0,1,8,1,1003.3,8,1,52,8,1,2.8,8,1,7.4,8,ñk,8,1
2011/3/8,1.0,8,1,-6.2,8,1,72,0,8,1,1,0,8,1,1003.7,8,1,55,8,1,2.3,8,1,9.5,8,ñkêº,8,1
2011/3/9,-0.2,4,1,-4.8,4,1,75,0,4,1,7,0,4,1,1006.0,4,1,65,4,1,2.0,4,1,5.6,4,êºñkêº],1,1
2011/3/10,1.7,8,1,-4.2,8,1,86,0,8,1,14,0,8,1,1006.5,8,1,63,8,1,3.3,8,1,9.9,8,êºñkêº,8,1
2011/3/11,2.6,8,1,-3.8,8,1,81,0,8,1,0,1,8,1,1006.4,8,1,55,8,1,2.5,8,1,7.6,8,êºñkêº,8,1
2011/3/12,4.5,8,1,-4.8,8,1,78,0,8,1,0,1,8,1,1011.9,8,1,54,8,1,3.4,8,1,7.9,8,ìÏìÏìå,8,1
2011/3/13,5.8,8,1,1.3,8,1,74,0,8,1,0,1,8,1,1009.5,8,1,69,8,1,4.0,8,1,8.2,8,ñkñkêº,8,1
2011/3/14,7.9,8,1,-0.6,8,1,68,0,8,1,2,0,8,1,1004.8,8,1,66,8,1,5.4,8,1,12.1,8,êºñkêº,8,1
2011/3/15,2.3,8,1,-1.6,8,1,72,0,8,1,6,0,8,1,1008.3,8,1,74,8,1,2.1,8,1,7.4,8,ñkñkêº,8,1
2011/3/16,2.0,8,1,-3.4,8,1,69,0,8,1,1,0,8,1,1000.0,8,1,60,8,1,3.9,8,1,7.4,8,ñkñkêº,8,1
2011/3/17,0.7,8,1,-4.4,8,1,76,0,8,1,10,0,8,1,1006.2,8,1,72,8,1,5.2,8,1,11.0,8,ñkñkêº,8,1
2011/3/18,3.7,8,1,-3.1,8,1,76,0,8,1,0,1,8,1,1014.0,8,1,52,8,1,3.4,8,1,7.1,8,êºìÏêº,8,1
2011/3/19,9.9,8,1,0.7,8,1,69,0,8,1,0,1,8,1,1003.9,8,1,55,8,1,4.8,8,1,9.1,8,ìÏìå,8,1
2011/3/20,7.3,8,1,0.1,8,1,64,0,8,1,0,1,8,1,1008.7,8,1,38,8,1,2.5,8,1,6.5,8,ñkêº,8,1
2011/3/21,4.8,8,1,-1.3,8,1,61,0,8,1,1,0,8,1,1008.0,8,1,48,8,1,4.8,8,1,9.7,8,ñkêº,8,1
2011/3/22,3.1,8,1,-1.9,8,1,63,0,8,1,2,0,8,1,1009.8,8,1,53,8,1,3.2,8,1,7.4,8,ñk,8,1
2011/3/23,1.5,8,1,-2.4,8,1,59,0,8,1,2,0,8,1,1012.3,8,1,61,8,1,3.2,8,1,7.4,8,ñkñkêº,8,1
2011/3/24,2.4,8,1,-4.0,8,1,59,0,8,1,1,0,8,1,1014.2,8,1,65,8,1,1.9,8,1,4.3,8,ñkìå,8,1
2011/3/25,3.0,8,1,-3.2,8,1,59,0,8,1,4,0,8,1,1014.6,8,1,72,8,1,1.8,8,1,5.1,8,ìÏìÏìå,8,1
2011/3/26,3.6,8,1,-4.1,8,1,57,0,8,1,1,0,8,1,1014.0,8,1,71,8,1,2.8,8,1,8.2,8,ñkñkêº,8,1
2011/3/27,3.8,8,1,-2.9,8,1,55,0,8,1,1,0,8,1,1017.8,8,1,61,8,1,3.2,8,1,8.6,8,ñkêº,8,1
2011/3/28,7.9,8,1,-1.7,8,1,53,0,8,1,0,1,8,1,1016.3,8,1,41,8,1,3.8,8,1,9.7,8,ìÏêº,8,1
2011/3/29,10.5,8,1,1.7,8,1,47,0,8,1,0,1,8,1,1012.1,8,1,44,8,1,3.1,8,1,10.2,8,ìÏêº,8,1
2011/3/30,10.3,8,1,0.0,8,1,42,0,8,1,0,1,8,1,1011.6,8,1,54,8,1,2.4,8,1,6.8,8,ìå,8,1
2011/3/31,9.8,8,1,0.6,8,1,35,0,8,1,0,1,8,1,1014.0,8,1,65,8,1,2.2,8,1,4.9,8,ñkñkêº,8,1
